ID,Address,AssessedValue
001 013 312,754 HIGHLAND AV,"450,300"
001 013 313,748 HIGHLAND AV,"774,100"
001 015 501,751 HIGHLAND AV,"697,600"
001 015 502,749 HIGHLAND AV,"597,200"
001 015 503,7 9 BLOMERTH ST,"814,100"
001 015 504,15 BLOMERTH ST,"965,900"
001 015 505,HAYWARD ST,"236,600"
001 015 507,12 LILLY ST,"801,300"
001 015 508,BROOKS RD,"186,400"
001 015 509,25 BLOMERTH ST,"916,800"
001 015 510,29 BLOMERTH ST,"563,300"
001 015 511,33 BLOMERTH ST,"657,700"
001 015 512,39 BLOMERTH ST,"583,100"
001 015 513,14 LILLY ST,"872,300"
001 015 514,7 LILLY ST,"593,200"
001 015 515,5 LILLY ST,"597,200"
001 015 516A,3 LILLY ST,"569,800"
001 015 516B,51 BLOMERTH ST,"562,400"
001 015 517,1 LILLY ST,"652,400"
001 015 518,REAR BLOMERTH ST,400
001 015 519,55 BLOMERTH ST,"536,300"
001 015 520,55 BLOMERTH ST,"605,700"
001 015 521,61 BLOMERTH ST,"722,300"
001 015 522,75 BLOMERTH ST,"598,300"
001 015 523,79 BLOMERTH ST,"657,700"
001 015 524,83 BLOMERTH ST,"531,500"
001 015 525,89 BLOMERTH ST,"679,600"
001 015 526,186 EAST BORDER RD,"854,900"
001 015 527,180 EAST BORDER RD,"626,700"
001 015 528,166 EAST BORDER RD,"787,100"
001 015 529,162 EAST BORDER RD,"692,700"
001 015 530,156 EAST BORDER RD,"766,000"
001 015 531,70 HAYWARD ST,"826,900"
001 015 546,HAYWARD ST,"30,200"
001 015 551,LILLY ST,"5,900"
001 015 552,8 HAYWARD ST,"679,500"
001 015 553,719 HIGHLAND AV,"799,400"
001 015 554,727 HIGHLAND AV,"655,900"
001 015 555,731 HIGHLAND AV,"596,300"
001 015 556,735 HIGHLAND AV,"660,000"
001 015 557,739 HIGHLAND AV,"654,200"
001 015 558,741 743 HIGHLAND AV,"944,600"
001 015 559,745 HIGHLAND AV,"651,600"
001 015 560,HIGHLAND AV,"24,600"
001 015 562,HAYWARD ST,"7,600"
001 016 601,761 HIGHLAND AV,"595,400"
001 016 602,763 HIGHLAND AV,"387,700"
001 016 603,767 HIGHLAND AV,"29,700"
001 016 604,769 REAR HIGHLAND AV,"13,600"
001 016 605,18 MAURICE ST,"624,900"
001 016 606,24 MAURICE ST,"504,200"
001 016 607,28 MAURICE ST,"60,200"
001 016 608,14 MAURICE ST,"638,400"
001 016 609,4 MAURICE ST,"730,000"
001 016 610,20 BLOMERTH ST,"631,000"
001 016 611,18 BLOMERTH ST,"555,700"
001 016 612,14 BLOMERTH ST,"729,000"
001 016 613,10 BLOMERTH ST,"496,600"
001 016 614,759 HIGHLAND AV,"647,100"
001 017 701,27 MAURICE ST,"636,100"
001 017 702,16 VICTOR ST,"541,100"
001 017 703,12 VICTOR ST,"551,300"
001 017 704,46 BLOMERTH ST,"551,800"
001 017 705,42 BLOMERTH ST,"583,500"
001 017 706,5 MAURICE ST,"646,900"
001 017 707,13 MAURICE ST,"542,000"
001 017 708,15 MAURICE ST,"598,500"
001 018 801,29 VICTOR ST,"381,900"
001 018 802,24 GRIMSHAW ST,"725,100"
001 018 803,26 GRIMSHAW ST,"46,100"
001 018 805,8 GRIMSHAW ST,"612,900"
001 019 901A,13 CLARENCE TR,"753,900"
001 019 903,11 CLARENCE TR,"725,200"
001 019 904,9 CLARENCE TR,"640,500"
001 019 906,34 GRIMSHAW ST,"491,000"
001 019 907,42 GRIMSHAW ST,"815,100"
001 019 908,48 GRIMSHAW ST,"754,300"
001 019 909,52 GRIMSHAW ST,"660,500"
001 019 910,56 GRIMSHAW ST,"630,500"
001 019 911,EAST BORDER RD,"11,600"
001 019 912,228 EAST BORDER RD,"653,100"
001 019 913,220 EAST BORDER RD,"842,700"
001 019 914,204 EAST BORDER RD,"842,800"
001 019 915,51 GRIMSHAW ST,"653,500"
001 019 916,4 CLARENCE TR,"709,200"
001 019 917,53 REAR GRIMSHAW ST,"873,100"
001 019 918,8 CLARENCE TR,"529,000"
001 019 920,90 92 BLOMERTH ST,"866,400"
001 019 921,96 BLOMERTH ST,"544,400"
001 019 922,12 CLARENCE TR,"749,200"
001 019 923,82 BLOMERTH ST,"678,400"
001 019 924,80 BLOMERTH ST,"616,600"
001 019 925,76 BLOMERTH ST,"566,300"
001 019 926,72 BLOMERTH ST,"652,500"
001 019 927,68 BLOMERTH ST,"561,200"
001 019 928,64 BLOMERTH ST,"704,700"
001 019 929,58 BLOMERTH ST,"552,200"
001 019 930,48 BLOMERTH ST,"577,500"
001 019 931,11 VICTOR ST,"668,300"
